itching  skin_rash  nodal_skin_eruptions  dischromic _patches,Dermatologist
 skin_rash  nodal_skin_eruptions  dischromic _patches,Dermatologist
itching  nodal_skin_eruptions  dischromic _patches,Dermatologist
itching  skin_rash  dischromic _patches,Dermatologist
itching  skin_rash  nodal_skin_eruptions,Dermatologist
 skin_rash  nodal_skin_eruptions  dischromic _patches,Dermatologist
itching  nodal_skin_eruptions  dischromic _patches,Dermatologist
itching  skin_rash  dischromic _patches,Dermatologist
itching  skin_rash  nodal_skin_eruptions,Dermatologist
itching  skin_rash  nodal_skin_eruptions  dischromic _patches,Dermatologist
 continuous_sneezing  shivering  chills  watering_from_eyes,Pulmonologist
 shivering  chills  watering_from_eyes,Pulmonologist
 continuous_sneezing  chills  watering_from_eyes,Pulmonologist
 continuous_sneezing  shivering  watering_from_eyes,Pulmonologist
 continuous_sneezing  shivering  chills,Pulmonologist
 shivering  chills  watering_from_eyes,Pulmonologist
 continuous_sneezing  chills  watering_from_eyes,Pulmonologist
 continuous_sneezing  shivering  watering_from_eyes,Pulmonologist
 continuous_sneezing  shivering  chills,Pulmonologist
 continuous_sneezing  shivering  chills  watering_from_eyes,Pulmonologist
 stomach_pain  acidity  ulcers_on_tongue  vomiting  cough  chest_pain,Internist
 stomach_pain  ulcers_on_tongue  vomiting  cough  chest_pain,Internist
 stomach_pain  acidity  vomiting  cough  chest_pain,Internist
 stomach_pain  acidity  ulcers_on_tongue  cough  chest_pain,Internist
 stomach_pain  acidity  ulcers_on_tongue  vomiting  chest_pain,Internist
 stomach_pain  acidity  ulcers_on_tongue  vomiting  cough,Internist
 acidity  ulcers_on_tongue  vomiting  cough  chest_pain,Internist
 stomach_pain  ulcers_on_tongue  vomiting  cough  chest_pain,Internist
 stomach_pain  acidity  vomiting  cough  chest_pain,Internist
 stomach_pain  acidity  ulcers_on_tongue  cough  chest_pain,Internist
itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Hepatologist
 vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Hepatologist
itching  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Hepatologist
itching  vomiting  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Hepatologist
itching  vomiting  yellowish_skin  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Hepatologist
itching  vomiting  yellowish_skin  nausea  abdominal_pain  yellowing_of_eyes,Hepatologist
itching  vomiting  yellowish_skin  nausea  loss_of_appetite  yellowing_of_eyes,Hepatologist
itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain,Hepatologist
itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Hepatologist
itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Hepatologist
itching  skin_rash  stomach_pain  burning_micturition  spotting_ urination,Physician
itching  stomach_pain  burning_micturition  spotting_ urination,Physician
itching  skin_rash  burning_micturition  spotting_ urination,Physician
itching  skin_rash  stomach_pain  spotting_ urination,Physician
itching  skin_rash  stomach_pain  burning_micturition,Physician
 skin_rash  stomach_pain  burning_micturition  spotting_ urination,Physician
itching  stomach_pain  burning_micturition  spotting_ urination,Physician
itching  skin_rash  burning_micturition  spotting_ urination,Physician
itching  skin_rash  stomach_pain  spotting_ urination,Physician
itching  skin_rash  stomach_pain  burning_micturition,Physician
 vomiting  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,Gastroenterologist
 vomiting  indigestion  abdominal_pain  passage_of_gases  internal_itching,Gastroenterologist
 indigestion  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,Gastroenterologist
 vomiting  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,Gastroenterologist
 vomiting  indigestion  abdominal_pain  passage_of_gases  internal_itching,Gastroenterologist
 vomiting  indigestion  loss_of_appetite  passage_of_gases  internal_itching,Gastroenterologist
 vomiting  indigestion  loss_of_appetite  abdominal_pain  internal_itching,Gastroenterologist
 vomiting  indigestion  loss_of_appetite  abdominal_pain  passage_of_gases,Gastroenterologist
 vomiting  indigestion  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,Gastroenterologist
 vomiting  indigestion  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,Gastroenterologist
 muscle_wasting  patches_in_throat  high_fever  extra_marital_contacts,Internist
 patches_in_throat  high_fever  extra_marital_contacts,Internist
 muscle_wasting  high_fever  extra_marital_contacts,Internist
 muscle_wasting  patches_in_throat  extra_marital_contacts,Internist
 muscle_wasting  patches_in_throat  high_fever,Internist
 muscle_wasting  patches_in_throat  high_fever  extra_marital_contacts,Internist
 muscle_wasting  patches_in_throat  high_fever  extra_marital_contacts,Internist
 patches_in_throat  high_fever  extra_marital_contacts,Internist
 muscle_wasting  high_fever  extra_marital_contacts,Internist
 muscle_wasting  patches_in_throat  high_fever,Internist
